team_id,gf,ga,comp,date
CUW,1,5,competitive,2026-03-31
CUW,1,4,friendly,2026-05-30
CZE,2,2,competitive,2022-06-05
CZE,0,2,competitive,2022-06-09
CZE,0,2,competitive,2022-06-12
CZE,0,4,competitive,2022-09-24
CZE,1,2,competitive,2022-09-27
CZE,1,2,friendly,2022-11-19
CZE,2,1,friendly,2024-03-22
CZE,1,2,competitive,2024-06-18
CZE,1,2,competitive,2024-06-26
CZE,1,5,qualifier,2025-06-09
CZE,1,1,friendly,2025-09-08
CZE,0,0,qualifier,2025-10-09
ECU,0,0,qualifier,2024-10-15
ECU,1,0,qualifier,2024-11-19
ECU,0,0,qualifier,2025-06-05
ECU,0,0,qualifier,2025-09-04
ECU,1,0,qualifier,2025-09-09
ECU,1,1,friendly,2025-10-10
ECU,1,1,friendly,2025-10-14
ECU,0,0,friendly,2025-11-13
ECU,2,0,friendly,2025-11-18
ECU,1,1,friendly,2026-03-27
ECU,1,1,friendly,2026-03-31
ECU,2,1,friendly,2026-05-30
EGY,2,4,competitive,2024-03-26
EGY,3,0,qualifier,2024-09-06
EGY,1,1,qualifier,2024-11-15
EGY,0,2,competitive,2025-11-14
EGY,1,1,competitive,2025-11-17
EGY,0,3,competitive,2025-12-09
EGY,1,0,competitive,2025-12-26
EGY,3,2,competitive,2026-01-10
EGY,0,1,competitive,2026-01-14
EGY,4,0,friendly,2026-03-27
EGY,0,0,friendly,2026-03-31
EGY,1,2,friendly,2026-06-06
ENG,3,1,friendly,2023-09-12
ENG,1,0,friendly,2023-10-13
ENG,0,1,friendly,2024-03-23
ENG,2,2,friendly,2024-03-26
ENG,3,0,friendly,2024-06-03
ENG,1,1,competitive,2024-07-06
ENG,2,1,competitive,2024-07-10
ENG,1,2,competitive,2024-07-14
ENG,1,3,friendly,2025-06-10
ENG,1,1,friendly,2026-03-27
ENG,0,1,friendly,2026-03-31
ENG,1,0,friendly,2026-06-06
ESP,2,1,competitive,2024-07-09
ESP,2,1,competitive,2024-07-14
ESP,4,1,competitive,2024-09-08
ESP,3,2,competitive,2024-11-18
ESP,2,2,competitive,2025-03-20
ESP,3,3,competitive,2025-03-23
ESP,5,4,competitive,2025-06-05
ESP,2,2,competitive,2025-06-08
ESP,6,0,qualifier,2025-09-07
ESP,2,2,qualifier,2025-11-18
