date,home,away,rating_home,rating_away,home_goals,away_goals,neutral,stage,form_sup,h2h_sup
2014-06-12,Brazil,Croatia,1769.6,1445.8,3,1,0,competitive,0.1728,0.0202
2014-06-13,Chile,Australia,1566.7,1385.6,3,1,1,competitive,0.111,0.0081
2014-06-13,Mexico,Cameroon,1502.8,1348.5,1,0,1,competitive,-0.0265,0.0021
2014-06-13,Spain,Netherlands,1751.5,1624.4,1,5,1,competitive,0.0681,0.0212
2014-06-14,Colombia,Greece,1568.1,1457.9,3,0,1,competitive,-0.0044,0.0047
2014-06-14,England,Italy,1557.1,1522.2,1,2,1,competitive,0.0973,0.0076
2014-06-14,Ivory Coast,Japan,1478.0,1454.1,2,1,1,competitive,-0.007,-0.0015
2014-06-14,Uruguay,Costa Rica,1565.6,1393.1,1,3,1,competitive,0.1032,0.0366
2014-06-15,Argentina,Bosnia and Herzegovina,1660.4,1424.5,2,1,1,competitive,0.0609,0.0541
2014-06-15,France,Honduras,1534.2,1357.1,3,0,1,competitive,0.1602,0.0
2014-06-15,Switzerland,Ecuador,1479.0,1486.5,2,1,1,competitive,0.1793,0.0
2014-06-16,Germany,Portugal,1706.2,1570.7,4,0,1,competitive,0.0199,0.0527
2014-06-16,Ghana,United States,1412.2,1524.7,1,2,1,competitive,-0.0911,0.0459
2014-06-16,Iran,Nigeria,1410.4,1410.1,0,0,1,competitive,0.0632,-0.009
2014-06-17,Belgium,Algeria,1485.4,1321.2,2,1,1,competitive,0.0015,0.0126
2014-06-17,Brazil,Mexico,1769.6,1502.8,0,0,0,competitive,0.1966,0.0425
2014-06-17,Russia,South Korea,1480.2,1345.9,1,1,1,competitive,0.2215,0.0191
2014-06-18,Australia,Netherlands,1385.6,1624.4,2,3,1,competitive,-0.1728,0.01
2014-06-18,Cameroon,Croatia,1348.5,1445.8,0,4,1,competitive,0.0027,0.0
2014-06-18,Spain,Chile,1751.5,1566.7,0,2,1,competitive,0.1299,0.0634
2014-06-19,Colombia,Ivory Coast,1568.1,1478.0,2,1,1,competitive,0.024,0.0
2014-06-19,Japan,Greece,1454.1,1457.9,0,0,1,competitive,-0.0215,0.019
2014-06-19,Uruguay,England,1565.6,1557.1,2,1,1,competitive,-0.0225,-0.0061
2014-06-20,Honduras,Ecuador,1357.1,1486.5,1,2,1,competitive,0.0071,-0.0185
2014-06-20,Italy,Costa Rica,1522.2,1393.1,0,1,1,competitive,0.0284,0.0024
2014-06-20,Switzerland,France,1479.0,1534.2,2,5,1,competitive,0.012,-0.0341
2014-06-21,Argentina,Iran,1660.4,1410.4,1,0,1,competitive,0.0222,0.0
2014-06-21,Germany,Ghana,1706.2,1412.2,2,2,1,competitive,0.122,0.0396
2014-06-21,Nigeria,Bosnia and Herzegovina,1410.1,1424.5,1,0,1,competitive,-0.0245,0.0
2014-06-22,Belgium,Russia,1485.4,1480.2,1,0,1,competitive,0.0001,0.0371
2014-06-22,South Korea,Algeria,1345.9,1321.2,2,4,1,competitive,-0.2202,-0.0036
2014-06-22,United States,Portugal,1524.7,1570.7,2,2,1,competitive,-0.0111,0.0159
2014-06-23,Australia,Spain,1385.6,1751.5,0,3,1,competitive,-0.2409,0.0
2014-06-23,Brazil,Cameroon,1769.6,1348.5,4,1,0,competitive,0.1701,0.0277
2014-06-23,Croatia,Mexico,1445.8,1502.8,1,3,1,competitive,0.0238,0.0011
2014-06-23,Netherlands,Chile,1624.4,1566.7,2,0,1,competitive,0.0618,0.0
2014-06-24,Costa Rica,England,1393.1,1557.1,0,0,1,competitive,-0.1257,0.0
2014-06-24,Greece,Ivory Coast,1457.9,1478.0,2,1,1,competitive,0.0284,0.0
2014-06-24,Italy,Uruguay,1522.2,1565.6,0,1,1,competitive,-0.0748,-0.008
2014-06-24,Japan,Colombia,1454.1,1568.1,1,4,1,competitive,-0.0171,-0.0136
2014-06-25,Bosnia and Herzegovina,Iran,1424.5,1410.4,3,1,1,competitive,-0.0387,-0.0583
2014-06-25,Ecuador,France,1486.5,1534.2,0,0,1,competitive,-0.1673,-0.0225
2014-06-25,Honduras,Switzerland,1357.1,1479.0,0,3,1,competitive,-0.1722,0.0
2014-06-25,Nigeria,Argentina,1410.1,1660.4,2,3,1,competitive,-0.0854,-0.0269
2014-06-26,Algeria,Russia,1321.2,1480.2,1,1,1,competitive,-0.0013,0.0
2014-06-26,South Korea,Belgium,1345.9,1485.4,0,1,1,competitive,-0.2216,-0.0107
2014-06-26,Portugal,Ghana,1570.7,1412.2,2,1,1,competitive,0.1021,0.0
2014-06-26,United States,Germany,1524.7,1706.2,0,1,1,competitive,-0.0309,-0.021
2014-06-28,Brazil,Chile,1769.6,1566.7,1,1,0,competitive,0.159,0.2429
2014-06-28,Colombia,Uruguay,1568.1,1565.6,2,0,1,competitive,0.0041,0.0079
2014-06-29,Costa Rica,Greece,1393.1,1457.9,1,1,1,competitive,-0.1117,0.0
2014-06-29,Netherlands,Mexico,1624.4,1502.8,2,1,1,competitive,0.0994,0.0234
2014-06-30,France,Nigeria,1534.2,1410.1,2,0,1,competitive,0.0589,-0.0125
2014-06-30,Germany,Algeria,1706.2,1321.2,2,1,1,competitive,0.0449,-0.0016
2014-07-01,Argentina,Switzerland,1660.4,1479.0,1,0,1,competitive,0.0145,0.0359
2014-07-01,Belgium,United States,1485.4,1524.7,2,1,1,competitive,-0.0126,0.056
2014-07-04,Brazil,Colombia,1769.6,1568.1,2,1,0,competitive,0.1339,0.0557
2014-07-04,France,Germany,1534.2,1706.2,0,1,1,competitive,-0.059,0.0152
2014-07-05,Argentina,Belgium,1660.4,1485.4,1,0,1,competitive,0.011,0.0046
